data_name,data_preprocessing_name,metric_name,metric_value,predicted_client_name,cross_validation_method,seed,predicted_target,learning_type
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,42,condition,centralized
Strongly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,42,condition,centralized
Ovarian cancer,uncorrected,MCC,0.8640776699029126,All,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.9320388349514565,All,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE14407,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE14407,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.8983050847457628,GSE26712,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.9491525423728814,GSE26712,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE38666,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE38666,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE40595,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE40595,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.7777777777777778,GSE6008,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.8888888888888888,GSE6008,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.0,GSE69428,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.5,GSE69428,Train-Test-Split,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,All,Train-Test-Split,42,HGSC,centralized
Ovarian cancer,uncorrected,F1_score,1.0,All,Train-Test-Split,42,HGSC,centralized
Ovarian cancer,corrected,MCC,0.9611650485436892,All,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,0.9805825242718448,All,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,GSE14407,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,1.0,GSE14407,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,0.9322033898305084,GSE26712,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,0.9661016949152542,GSE26712,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,GSE38666,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,1.0,GSE38666,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,GSE40595,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,1.0,GSE40595,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,GSE6008,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,1.0,GSE6008,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,GSE69428,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,F1_score,1.0,GSE69428,Train-Test-Split,42,HGSC,federated
Ovarian cancer,corrected,MCC,1.0,All,Train-Test-Split,42,HGSC,centralized
Ovarian cancer,corrected,F1_score,1.0,All,Train-Test-Split,42,HGSC,centralized
E. coli,uncorrected,MCC,0.9473684210526316,All,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,0.9736842105263158,All,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,1.0,lab_A,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,1.0,lab_A,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,1.0,lab_B,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,1.0,lab_B,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,0.7142857142857143,lab_C,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,0.8571428571428571,lab_C,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,1.0,lab_D,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,1.0,lab_D,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,1.0,lab_E,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,F1_score,1.0,lab_E,Train-Test-Split,42,Pyr,federated
E. coli,uncorrected,MCC,1.0,All,Train-Test-Split,42,Pyr,centralized
E. coli,uncorrected,F1_score,1.0,All,Train-Test-Split,42,Pyr,centralized
E. coli,corrected,MCC,1.0,All,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,All,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,lab_A,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,lab_A,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,lab_B,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,lab_B,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,lab_C,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,lab_C,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,lab_D,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,lab_D,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,lab_E,Train-Test-Split,42,Pyr,federated
E. coli,corrected,F1_score,1.0,lab_E,Train-Test-Split,42,Pyr,federated
E. coli,corrected,MCC,1.0,All,Train-Test-Split,42,Pyr,centralized
E. coli,corrected,F1_score,1.0,All,Train-Test-Split,42,Pyr,centralized
ccRCC,uncorrected,MCC,0.9776119402985076,All,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,F1_score,0.9888059701492538,All,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,MCC,0.9661016949152542,PDC000127,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,F1_score,0.9830508474576272,PDC000127,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,MCC,0.9714285714285714,PXD030344,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,F1_score,0.9857142857142858,PXD030344,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,MCC,1.0,PXD042844,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,F1_score,1.0,PXD042844,Train-Test-Split,42,Condition,federated
ccRCC,uncorrected,MCC,0.947565543071161,All,Train-Test-Split,42,Condition,centralized
ccRCC,uncorrected,F1_score,0.9737827715355806,All,Train-Test-Split,42,Condition,centralized
ccRCC,corrected,MCC,0.9850746268656716,All,Train-Test-Split,42,Condition,federated
ccRCC,corrected,F1_score,0.9925373134328358,All,Train-Test-Split,42,Condition,federated
ccRCC,corrected,MCC,1.0,PDC000127,Train-Test-Split,42,Condition,federated
ccRCC,corrected,F1_score,1.0,PDC000127,Train-Test-Split,42,Condition,federated
ccRCC,corrected,MCC,0.9714285714285714,PXD030344,Train-Test-Split,42,Condition,federated
ccRCC,corrected,F1_score,0.9857142857142858,PXD030344,Train-Test-Split,42,Condition,federated
ccRCC,corrected,MCC,1.0,PXD042844,Train-Test-Split,42,Condition,federated
ccRCC,corrected,F1_score,1.0,PXD042844,Train-Test-Split,42,Condition,federated
ccRCC,corrected,MCC,0.947565543071161,All,Train-Test-Split,42,Condition,centralized
ccRCC,corrected,F1_score,0.9737827715355806,All,Train-Test-Split,42,Condition,centralized
Balanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Balanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Balanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Balanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Balanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Mildly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Mildly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Strongly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab1,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab2,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab3,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Train-Test-Split,43,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,All,Train-Test-Split,43,condition,centralized
Strongly Imbalanced Simulated,corrected,F1_score,1.0,All,Train-Test-Split,43,condition,centralized
Balanced Simulated,uncorrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,MCC,0.7622792201730545,lab2,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,F1_score,0.8681006493506493,lab2,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,uncorrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,uncorrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,uncorrected,MCC,0.9607689228305228,lab2,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,uncorrected,F1_score,0.9799919967987194,lab2,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,uncorrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,uncorrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Balanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Balanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,uncorrected,MCC,0.9336995618478524,lab1,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,F1_score,0.9668571428571427,lab1,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,uncorrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Mildly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,MCC,0.9279607271383368,lab1,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,0.9755368814192342,lab1,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,0.3525058226889108,lab2,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,0.501797464291446,lab2,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,0.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,F1_score,0.45,lab3,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,uncorrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,MCC,0.1175019408963036,lab2,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,F1_score,0.2330538085255066,lab2,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,MCC,0.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,uncorrected,F1_score,0.2285714285714285,lab3,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,federated
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab1,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab2,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,MCC,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Strongly Imbalanced Simulated,corrected,F1_score,1.0,lab3,Leave-One-Cohort-Out,42,condition,centralized
Ovarian cancer,uncorrected,MCC,1.0,GSE14407,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE14407,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.0,GSE26712,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.9237516869095818,GSE26712,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE38666,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE38666,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE40595,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE40595,Leave-One-Cohort-Out,42,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.9223300970873788,All,Train-Test-Split,43,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.9611650485436892,All,Train-Test-Split,43,HGSC,federated
Ovarian cancer,uncorrected,MCC,1.0,GSE14407,Train-Test-Split,43,HGSC,federated
Ovarian cancer,uncorrected,F1_score,1.0,GSE14407,Train-Test-Split,43,HGSC,federated
Ovarian cancer,uncorrected,MCC,0.8983050847457628,GSE26712,Train-Test-Split,43,HGSC,federated
Ovarian cancer,uncorrected,F1_score,0.9491525423728814,GSE26712,Train-Test-Split,43,HGSC,federated
